income,loan_purpose,coop_unit,trem_months,state_clean,first_hoam_loan,gender,age,num_units,credit_score,prop_typ,int_rate
105040,2,2,180,3,2,1,45,1,5,1,3.25
47320,2,2,180,3,2,1,61,1,5,1,3.5
152712,1,2,180,3,2,1,45,1,5,1,3.38
69192,2,2,240,3,2,3,48,1,5,1,4
161323,1,2,180,3,2,1,55,1,5,1,3.25
172608,1,2,360,3,2,3,53,1,5,1,4.38
141882,2,2,180,3,2,1,67,1,5,1,3.38
83424,1,2,360,3,2,1,53,1,5,1,4.13
190000,1,2,180,3,2,1,55,1,4,1,3.38
43365,1,2,360,3,2,1,71,1,5,1,4.5
122880,2,2,360,3,2,3,41,1,5,1,4.25
75879,2,2,240,3,2,1,55,1,5,1,3.88
123562,1,2,360,3,2,1,67,1,5,1,4.25
60960,1,2,360,3,2,2,58,1,4,1,4.25
65000,1,2,360,3,2,2,35,1,4,1,4.25
44000,1,2,360,3,1,3,27,1,4,1,4.25
250000,2,2,360,3,2,1,57,1,4,1,4.25
105000,1,2,180,4,2,2,47,1,4,1,3.38
57291,2,2,360,3,2,1,37,1,4,1,4.38
137358,1,2,360,3,2,2,65,1,4,1,4.5
72203,2,2,360,3,2,2,47,1,4,1,4.63
69017,2,2,360,3,2,1,40,1,4,1,4.5
165140,1,2,360,3,2,2,55,1,4,1,4.38
43404,2,2,360,4,2,2,57,1,4,1,4.63
57759,2,2,360,3,2,1,50,1,4,1,4.38
41796,2,2,360,3,2,1,50,1,4,1,4.38
107424,2,2,360,3,2,3,64,1,5,1,4.25
48920,2,2,360,3,2,2,42,1,5,1,4.63
83000,2,2,180,3,2,2,50,1,5,2,3.38
40294,2,2,360,3,2,1,34,1,5,1,4.25
47840,2,2,360,3,2,1,36,1,5,1,4.25
57041,1,2,360,3,2,1,55,1,5,1,4.5
91168,1,2,180,3,2,1,60,1,5,2,3.38
69628,1,2,240,3,2,1,43,1,5,1,3.75
75000,1,2,360,3,2,1,47,1,5,1,4.5
24111,1,2,360,3,1,2,34,1,5,1,4.25
84900,1,2,360,2,2,2,54,1,5,1,4
73848,1,2,360,3,2,1,33,1,5,1,4.25
58919,1,2,360,3,2,2,60,1,5,1,4.25
86653,2,2,360,3,2,1,48,1,5,1,4.25
98614,1,2,180,4,2,2,63,2,5,1,3.38
59928,1,2,360,3,2,2,74,1,5,11,4.25
68000,2,2,240,3,2,2,50,1,5,1,4
25161,2,2,240,3,2,2,78,1,5,1,4.25
266028,1,2,360,2,2,2,38,1,5,1,4.5
216576,1,2,360,2,2,1,55,1,5,1,4.13
310992,1,2,180,2,2,1,45,1,5,1,3.13
290184,1,2,360,2,2,1,60,1,5,1,4
103164,1,2,360,2,2,1,59,1,5,1,4.5
217373,1,2,360,2,2,2,56,1,5,1,4.5
226467,1,2,240,1,2,1,54,1,5,1,4.13
293702,1,2,360,2,2,1,44,1,2,7,4.13
78005,2,2,360,2,2,1,55,1,3,1,4.5
150000,1,2,360,2,2,1,44,1,4,1,4.25
65008,2,2,360,2,2,1,32,1,4,1,4.25
100569,1,2,360,2,2,2,53,1,4,1,4.38
71844,1,2,180,2,2,2,63,1,5,1,3.38
257436,2,2,180,2,2,2,40,1,5,1,3.38
161592,1,2,360,2,2,1,63,1,5,1,4.13
361698,2,2,360,2,2,1,40,1,5,1,4.38
60000,1,2,360,2,2,1,48,1,5,1,4.13
46574,1,2,360,2,2,1,99,1,5,1,4
223610,2,2,180,2,2,3,56,1,4,1,3.63
41308,2,2,360,2,2,2,53,1,2,1,4.5
62899,2,2,360,2,2,1,46,1,4,1,4.38
114912,1,2,360,2,2,1,56,1,5,1,4.13
157485,2,2,360,2,2,3,66,1,4,1,4.88
104098,2,2,180,2,2,1,57,1,3,1,3.25
79381,2,2,360,2,2,2,48,1,4,1,4.13
81924,2,2,180,2,2,1,64,1,5,1,3.25
77304,1,2,360,2,1,2,25,1,4,1,4.25
101920,2,2,360,2,2,1,43,1,4,1,4.63
56196,2,2,240,2,2,1,61,1,5,1,3.88
103632,2,2,180,2,2,1,46,1,5,1,3.5
116386,2,2,360,2,2,1,40,1,4,1,4.38
147049,2,2,360,2,2,1,99,1,5,1,4.38
90780,1,2,360,2,2,1,43,1,5,1,4.25
109596,1,2,360,2,2,1,41,1,5,1,4.13
42000,1,2,360,2,2,2,99,1,4,1,4.38
104000,1,2,360,2,2,1,99,1,5,1,3.88
70116,2,2,360,2,2,1,51,1,5,1,4.13
64250,1,2,360,2,2,2,51,1,4,1,4.13
118040,1,2,360,2,2,1,52,1,5,7,4.13
140040,2,2,360,2,2,1,99,1,5,1,4.25
107820,1,2,360,2,2,2,40,1,5,1,4.13
182796,2,2,180,2,2,1,56,1,5,1,3.38
95528,2,2,360,2,2,1,65,1,5,1,4.13
34404,1,2,360,2,2,1,83,1,5,1,4.25
194425,1,2,360,2,2,1,36,1,5,1,4.38
47178,2,2,360,2,2,1,71,1,5,1,4.13
125160,1,2,360,2,2,1,45,1,5,2,4
142196,1,2,360,2,2,1,99,1,5,1,4.38
129297,1,2,360,2,2,1,62,1,4,1,4
2964000,2,2,360,2,2,2,46,1,2,1,4.13
91200,2,2,360,2,2,1,46,1,3,1,4.75
37482,2,2,360,2,2,2,27,1,3,2,4.13
54840,1,2,360,2,1,1,53,1,4,4,4.13
48188,1,2,360,2,1,2,23,1,4,2,4.75
42750,2,2,240,2,2,2,44,1,4,1,4
75096,2,2,360,2,2,2,32,1,4,1,4.25
